regionCode, title, population, 2021-01-04, 2021-01-11, 2021-01-18, 2021-01-25, 2021-02-01, 2021-02-08, 2021-02-15, 2021-02-22, 2021-03-01, 2021-03-08, 2021-03-15, 2021-03-22, 2021-03-29, 2021-04-05, 2021-04-12, 2021-04-19, 2021-04-26, 2021-05-03, 2021-05-10, 2021-05-17, 2021-05-24, 2021-05-31, 2021-06-07, 2021-06-14, 2021-06-21, 2021-06-28, 2021-07-05, 2021-07-12, 2021-07-19, 2021-07-26, 2021-08-02, 2021-08-09, 2021-08-16, 2021-08-23, 2021-08-30, 2021-09-06, 2021-09-13, 2021-09-20, 2021-09-27, 2021-10-04, 2021-10-11, 2021-10-18, 2021-10-25, 2021-11-01, 2021-11-08, 2021-11-15, 2021-11-22, 2021-11-29, 2021-12-06, 2021-12-13, 2021-12-20, 2021-12-27, 2022-01-03, 2022-01-10, 2022-01-17, 2022-01-24, 2022-01-31
WK195215, Siddeburen, 2912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 10, 11, 11, 13, 15, 20, 24, 27, 31, 33, 44, 48, 54, 60, 62, 66, 69, 72, 73, 74, 75, 75, 76, 76, 77, 77, 77, 77, 77, 78, 78, 78, 78, 79, 79, 79, 79, 80, 80, 80, 80, 80, 80
WK053404, Hillegom West, 2933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 7, 9, 10, 13, 16, 21, 25, 29, 35, 37, 41, 48, 53, 57, 63, 67, 68, 69, 70, 70, 71, 71, 72, 73, 73, 73, 73, 74, 74, 74, 74, 75, 75, 75, 75, 76, 76, 76, 77, 77, 77
WK195404, Wijk 04 Schimmert, 2928, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 9, 9, 10, 12, 18, 22, 27, 33, 37, 42, 47, 50, 53, 60, 64, 68, 71, 75, 76, 78, 79, 79, 79, 79, 80, 80, 80, 80, 81, 81, 81, 81, 81, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82
WK045125, Wijk 25 Thamerdal, 2938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 8, 9, 10, 10, 12, 13, 16, 19, 22, 24, 29, 34, 39, 41, 45, 49, 52, 56, 60, 62, 62, 64, 64, 65, 65, 65, 66, 67, 67, 67, 67, 68, 68, 68, 69, 69, 69, 70, 70, 70, 70, 70, 70, 70
WK056902, Wijk 02 Zevenhoven, 2897, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 14, 17, 22, 27, 32, 36, 39, 45, 51, 54, 58, 64, 67, 69, 70, 70, 71, 71, 72, 72, 73, 73, 73, 73, 74, 74, 74, 74, 75, 75, 75, 75, 76, 76, 76, 77, 77, 77
WK076202, Wijk 02 Liessel, 2903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 8, 9, 9, 10, 12, 15, 20, 25, 29, 33, 37, 40, 44, 48, 58, 63, 67, 70, 73, 74, 75, 76, 77, 77, 77, 77, 78, 78, 78, 78, 79, 79, 79, 79, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80
WK008506, Haulerwijk, 2897, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 10, 11, 12, 13, 14, 18, 21, 24, 34, 39, 42, 46, 49, 55, 58, 59, 61, 64, 65, 65, 66, 66, 67, 67, 67, 67, 67, 68, 68, 68, 68, 68, 69, 69, 70, 70, 70, 70, 70, 70, 70, 70, 70
WK194926, Dronryp, 2905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 8, 9, 11, 13, 18, 23, 28, 31, 36, 42, 45, 53, 58, 61, 62, 65, 68, 70, 72, 72, 73, 73, 74, 74, 74, 74, 74, 75, 75, 75, 75, 76, 76, 76, 77, 77, 77, 77, 77, 77, 77, 77
WK051839, Wijk 39 Binckhorst, 2938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 9, 11, 13, 15, 19, 23, 25, 26, 26, 27, 27, 28, 28, 29, 30, 30, 30, 31, 31, 32, 33, 33, 34, 34, 35, 35, 35, 35, 35, 35, 35, 35
WK067708, Kloosterzande, 2898, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 9, 11, 12, 13, 13, 14, 17, 20, 24, 29, 33, 38, 42, 46, 48, 52, 55, 63, 66, 71, 75, 77, 78, 79, 79, 80, 80, 81, 81, 81, 81, 81, 82, 82, 83, 83, 83, 83, 83, 83, 84, 84, 84, 84, 84, 84
WK172105, Buitengebied Heeswijk-Dinther, 2877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 7, 8, 9, 11, 17, 20, 25, 29, 32, 37, 40, 44, 51, 57, 62, 66, 69, 72, 73, 74, 74, 74, 75, 75, 75, 76, 77, 77, 77, 78, 78, 78, 79, 80, 80, 80, 80, 80, 80, 80, 80, 80
